Question Text,Type,Option 1,Option 1 Absolute Score,Option 1 Internal Score,Option 2,Option 2 Absolute Score,Option 2 Internal Score,Option 3,Option 3 Absolute Score,Option 3 Internal Score,Option 4,Option 4 Absolute Score,Option 4 Internal Score,Option 5,Option 5 Absolute Score,Option 5 Internal Score,Required,Weightage,Order,Group ID,Is Group Lead,Requires Evidence,Evidence Description
"Do you conduct regular supplier audits for ESG compliance?",single_select,"Yes, annual third-party audits for all critical suppliers",10,10,"Yes, regular internal audits for most suppliers",8,8,"Yes, periodic audits for key suppliers",6,6,"Limited audit activities",3,3,"No supplier audits",0,0,TRUE,1.8,20,supply-chain,FALSE,TRUE,Upload supplier audit reports or compliance certificates
"What is your board composition in terms of independence?",single_select,">75% independent directors",10,10,"51-75% independent directors",8,8,"25-50% independent directors",6,6,"10-24% independent directors",4,4,"<10% independent directors",2,2,TRUE,1.9,21,corporate-governance,TRUE,TRUE,Upload board composition and independence documentation
"Do you have formal anti-corruption and bribery policies?",single_select,"Yes, comprehensive policy with third-party verification",10,10,"Yes, comprehensive internal policy with training",8,8,"Yes, basic anti-corruption policy",6,6,"Limited/informal guidelines",3,3,"No formal policy",0,0,TRUE,2.0,22,corporate-governance,FALSE,TRUE,Upload anti-corruption and bribery policy document
"Do you have a whistleblower protection policy?",single_select,"Yes, formal policy with anonymous reporting channels",10,10,"Yes, formal policy with limited reporting channels",7,7,"Yes, basic whistleblower policy",5,5,"Informal reporting mechanisms",2,2,"No whistleblower protection",0,0,TRUE,1.4,23,corporate-governance,FALSE,TRUE,Upload whistleblower policy and reporting procedures
"What is your executive compensation structure?",single_select,"ESG metrics account for >30% of executive compensation",10,10,"ESG metrics account for 20-30% of executive compensation",8,8,"ESG metrics account for 10-19% of executive compensation",6,6,"ESG metrics account for <10% of executive compensation",3,3,"No ESG metrics in executive compensation",0,0,TRUE,1.6,24,executive-compensation,TRUE,TRUE,Upload executive compensation policy or proxy statement
"Are executive bonuses linked to sustainability performance?",single_select,"Yes, >50% of bonus tied to sustainability metrics",10,10,"Yes, 25-50% of bonus tied to sustainability metrics",8,8,"Yes, 10-24% of bonus tied to sustainability metrics",6,6,"Yes, <10% of bonus tied to sustainability metrics",3,3,"No sustainability metrics in bonus structure",0,0,TRUE,1.3,25,executive-compensation,FALSE,FALSE,
"Do you publish an annual sustainability report?",single_select,"Yes, GRI Standards compliant with third-party assurance",10,10,"Yes, GRI Standards compliant without assurance",8,8,"Yes, comprehensive report following other frameworks",7,7,"Yes, basic sustainability report",5,5,"No sustainability reporting",0,0,TRUE,1.8,26,transparency-reporting,TRUE,TRUE,Upload latest sustainability report or link to publication
"Do you participate in CDP (Carbon Disclosure Project) reporting?",single_select,"Yes, A or A- rating",10,10,"Yes, B rating",8,8,"Yes, C rating",6,6,"Yes, D rating",4,4,"No CDP participation",0,0,FALSE,1.4,27,transparency-reporting,FALSE,TRUE,Upload CDP response or rating documentation
"What is your approach to stakeholder engagement?",multi_select,"Regular investor meetings on ESG topics",2,2,"Community consultation programs",2,2,"Employee sustainability surveys",2,2,"Customer sustainability feedback",2,2,"NGO/advocacy group partnerships",2,2,TRUE,1.2,28,stakeholder-engagement,TRUE,FALSE,
"Do you have materiality assessments for ESG topics?",single_select,"Yes, annual materiality assessment with stakeholder input",10,10,"Yes, periodic materiality assessment with stakeholder input",8,8,"Yes, internal materiality assessment only",6,6,"Ad-hoc materiality reviews",3,3,"No materiality assessment",0,0,TRUE,1.5,29,stakeholder-engagement,FALSE,TRUE,Upload materiality assessment report or documentation
"Do you have formal environmental management systems?",single_select,"Yes, ISO 14001 certified",10,10,"Yes, comprehensive EMS not certified",8,8,"Yes, basic EMS in place",6,6,"Limited environmental procedures",3,3,"No formal EMS",0,0,TRUE,1.7,30,environmental-management,TRUE,TRUE,Upload EMS documentation or ISO 14001 certificate
"What is your approach to biodiversity protection?",single_select,"Formal biodiversity policy with habitat restoration programs",10,10,"Biodiversity policy with conservation measures",8,8,"Basic biodiversity considerations in operations",6,6,"Limited biodiversity awareness",3,3,"No biodiversity considerations",0,0,TRUE,1.1,31,environmental-management,FALSE,TRUE,Upload biodiversity policy or conservation project documentation
"Do you have sustainable procurement policies?",single_select,"Yes, comprehensive sustainable procurement with ESG supplier scoring",10,10,"Yes, sustainable procurement policy with some ESG criteria",8,8,"Yes, basic sustainable procurement guidelines",6,6,"Limited sustainable procurement practices",3,3,"No sustainable procurement policy",0,0,TRUE,1.4,32,sustainable-procurement,TRUE,TRUE,Upload sustainable procurement policy document
"What percentage of your suppliers are local/regional?",single_select,"76-100%",10,10,"51-75%",8,8,"26-50%",6,6,"11-25%",4,4,"0-10%",2,2,FALSE,1.0,33,sustainable-procurement,FALSE,FALSE,
"Do you have products/services with sustainability benefits?",single_select,">50% of revenue from sustainable products/services",10,10,"25-50% of revenue from sustainable products/services",8,8,"10-24% of revenue from sustainable products/services",6,6,"1-9% of revenue from sustainable products/services",4,4,"No sustainable products/services",0,0,TRUE,1.8,34,sustainable-products,TRUE,TRUE,Upload product sustainability documentation or certifications
"Do you have life cycle assessments for your products?",single_select,"Yes, comprehensive LCA for all major products",10,10,"Yes, LCA for most products",8,8,"Yes, LCA for key products only",6,6,"Limited LCA activities",3,3,"No life cycle assessments",0,0,TRUE,1.3,35,sustainable-products,FALSE,TRUE,Upload life cycle assessment reports or summaries
"What is your approach to community investment?",single_select,">1% of revenue invested in community programs",10,10,"0.5-1% of revenue invested in community programs",8,8,"0.1-0.4% of revenue invested in community programs",6,6,"<0.1% of revenue invested in community programs",4,4,"No formal community investment",0,0,TRUE,1.2,36,community-engagement,TRUE,TRUE,Upload community investment reports or documentation
"Do you have employee volunteer programs?",single_select,"Yes, paid volunteer time >20 hours/employee/year",10,10,"Yes, paid volunteer time 10-20 hours/employee/year",8,8,"Yes, paid volunteer time 5-9 hours/employee/year",6,6,"Yes, limited paid volunteer time <5 hours/employee/year",4,4,"No employee volunteer programs",0,0,FALSE,1.0,37,community-engagement,FALSE,FALSE,
"Do you have data privacy and security policies?",single_select,"Yes, comprehensive data privacy policy with third-party certification",10,10,"Yes, comprehensive internal data privacy policy",8,8,"Yes, basic data privacy policy",6,6,"Limited data privacy procedures",3,3,"No formal data privacy policy",0,0,TRUE,1.5,38,data-privacy,TRUE,TRUE,Upload data privacy policy and security certifications
"Have you had any data breaches in the past 3 years?",single_select,"No data breaches",10,10,"Minor breach affecting <100 individuals, properly disclosed",7,7,"Moderate breach affecting <1,000 individuals, properly disclosed",5,5,"Major breach affecting >1,000 individuals, properly disclosed",2,2,"Breach with inadequate disclosure or response",0,0,TRUE,1.6,39,data-privacy,FALSE,TRUE,Upload incident response documentation if applicable
"What is your approach to innovation in sustainability?",multi_select,"R&D budget allocated to sustainability projects",2.5,2.5,"Partnerships with universities/research institutions",2,2,"Internal innovation challenges focused on sustainability",2,2,"Investment in clean technology startups",2,2,"Patents related to environmental technologies",1.5,1.5,FALSE,1.3,40,sustainability-innovation,TRUE,TRUE,Upload innovation portfolio or R&D sustainability investments
"Do you set and track science-based emissions targets?",single_select,"Yes, SBTi approved targets for Scope 1, 2, and 3",10,10,"Yes, SBTi approved targets for Scope 1 and 2 only",8,8,"Yes, internal science-based targets",6,6,"Targets set but not science-based",4,4,"No emissions targets",0,0,TRUE,2.5,41,science-based-targets,TRUE,TRUE,Upload SBTi target validation or internal target documentation
"What is your progress toward net-zero emissions?",single_select,"Net-zero commitment with interim targets, on track to achieve by 2030",10,10,"Net-zero commitment with interim targets, on track to achieve by 2040",8,8,"Net-zero commitment with interim targets, on track to achieve by 2050",6,6,"Net-zero commitment without clear interim targets",3,3,"No net-zero commitment",0,0,TRUE,2.3,42,science-based-targets,FALSE,TRUE,Upload net-zero roadmap or commitment documentation
"Do you use carbon offsets as part of your climate strategy?",single_select,"Yes, high-quality verified offsets for residual emissions only (<10%)",8,8,"Yes, verified offsets for <25% of total emissions",6,6,"Yes, verified offsets for 25-50% of total emissions",4,4,"Yes, offsets for >50% of emissions or low-quality offsets",2,2,"No use of carbon offsets",10,10,FALSE,1.1,43,carbon-strategy,TRUE,TRUE,Upload carbon offset portfolio or verification documents
"What is your approach to circular economy principles?",multi_select,"Product design for durability and repairability",2,2,"Material recycling and recovery programs",2,2,"Take-back or product stewardship programs",2,2,"Sharing economy or product-as-a-service models",2,2,"Industrial symbiosis partnerships",2,2,TRUE,1.4,44,circular-economy,TRUE,FALSE,
"What percentage of your packaging is recyclable or compostable?",single_select,"90-100%",10,10,"75-89%",8,8,"50-74%",6,6,"25-49%",4,4,"0-24%",2,2,TRUE,1.2,45,circular-economy,FALSE,TRUE,Upload packaging sustainability documentation or certifications
"Do you have human rights due diligence processes?",single_select,"Yes, comprehensive HRDD with third-party assessment",10,10,"Yes, formal HRDD process with internal assessment",8,8,"Yes, basic human rights risk assessment",6,6,"Limited human rights considerations",3,3,"No human rights due diligence",0,0,TRUE,1.8,46,human-rights,TRUE,TRUE,Upload human rights policy and due diligence documentation
"Do you have policies prohibiting child labor and forced labor?",single_select,"Yes, comprehensive policy with supply chain monitoring",10,10,"Yes, formal policy with limited monitoring",7,7,"Yes, basic policy statement",5,5,"Informal guidelines only",2,2,"No specific policies",0,0,TRUE,2.0,47,human-rights,FALSE,TRUE,Upload child labor and forced labor policy documentation
"What is your approach to tax transparency?",single_select,"Publish comprehensive tax strategy and country-by-country reporting",10,10,"Publish tax strategy with limited geographic detail",8,8,"Basic tax transparency reporting",6,6,"Limited tax disclosure",3,3,"Minimal tax transparency",0,0,TRUE,1.3,48,tax-transparency,TRUE,TRUE,Upload tax strategy document or transparency report
"What is your effective tax rate compared to statutory rates?",single_select,"Effective rate within 5% of statutory rate",10,10,"Effective rate 6-10% below statutory rate",8,8,"Effective rate 11-15% below statutory rate",6,6,"Effective rate 16-25% below statutory rate",4,4,"Effective rate >25% below statutory rate",2,2,TRUE,1.4,49,tax-transparency,FALSE,TRUE,Upload tax rate analysis or financial statements
"Please describe your organization's most significant sustainability achievement in the past year.",text,"","","","","","","","","","","","","",,"",TRUE,1.0,50,sustainability-narrative,TRUE,FALSE,
